,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8357,9223898272,806405802,Above Benchmark,419,806405,White,NO,NO,NO
8358,9223372575,778409807,Below Benchmark,281,778409,White,NO,NO,NO
8359,9223398243,820403805,At Benchmark,325,820403,White,NO,NO,NO
8360,9223393583,844407809,Above Benchmark,340,844407,White,NO,NO,NO
8361,9223957553,93408883,At Benchmark,331,93408,White,NO,NO,NO
8362,9223251295,820407802,Below Benchmark,300,820407,White,YES,NO,NO
8363,9229879652,820407876,Above Benchmark,364,820407,White,NO,NO,NO
8364,9229396316,778108051,Well Below Benchmark,266,778108,White,NO,NO,NO
8365,9229257512,820407876,Well Below Benchmark,274,820407,White,NO,NO,NO
8366,9229126892,35407307,Below Benchmark,301,35407,White,YES,NO,NO
8367,9226818315,820405804,Below Benchmark,288,820405,White,YES,NO,NO
8368,9226817699,760407808,Well Below Benchmark,244,760407,White,NO,NO,NO
8369,9225751778,8404808,Above Benchmark,348,8404,White,NO,NO,NO
8370,9225651265,770486801,Well Below Benchmark,254,770486,White,YES,NO,NO
8371,9225615413,96407808,Well Below Benchmark,243,96407,White,YES,NO,NO
8372,9221654375,770486803,Below Benchmark,285,770486,White,NO,NO,NO
8373,9221532112,833403807,Well Below Benchmark,260,833403,White,YES,NO,NO
8374,9224645441,819402806,Above Benchmark,386,819402,White,NO,NO,NO
8375,9224138763,739405808,At Benchmark,328,739405,White,NO,NO,NO
8376,9218896332,888403808,At Benchmark,315,888403,White,NO,NO,NO
8377,9218799769,818402808,Well Below Benchmark,259,818402,White,NO,NO,NO
8378,9218729142,,Above Benchmark,340,58406,White,NO,NO,NO
8379,9218722323,848408809,Well Below Benchmark,255,848408,White,NO,NO,NO
8380,9218395869,78407801,Well Below Benchmark,257,78407,White,NO,NO,NO
8381,9218528914,821409861,At Benchmark,321,821409,White,NO,NO,YES
8382,9218212193,844408886,Above Benchmark,402,844408,White,YES,NO,NO
8383,9218177269,844407801,Below Benchmark,299,844407,White,NO,NO,NO
8384,9217663797,848408802,Well Below Benchmark,252,848408,White,YES,NO,NO
8385,9217645927,19488807,At Benchmark,329,19488,White,NO,NO,NO
8386,9217552271,834404804,Well Below Benchmark,256,834404,White,NO,NO,YES
8387,9213876572,93408802,Above Benchmark,409,93408,White,NO,NO,NO
8388,9213381483,848408801,Well Below Benchmark,247,848408,White,YES,NO,NO
8389,9213162763,820405804,Well Below Benchmark,243,820405,White,YES,YES,NO
8390,9219679647,874480808,Well Below Benchmark,266,874480,White,YES,NO,NO
8391,9219597277,818406807,Below Benchmark,305,818406,White,YES,NO,NO
8392,9216124315,818402808,Well Below Benchmark,273,818402,White,YES,NO,NO
8393,9216428184,,Above Benchmark,343,78407,White,NO,NO,NO
8394,9216428184,78407882,Above Benchmark,359,78407,White,NO,NO,NO
8395,9215668923,705408808,Well Below Benchmark,253,705408,White,YES,NO,NO
8396,9212781838,62477803,Above Benchmark,343,62477,White,NO,NO,NO
8397,9212254141,,Above Benchmark,464,770485,White,NO,NO,NO
8398,9211357178,808406808,Well Below Benchmark,279,808406,White,NO,NO,NO
8399,9211929728,96407808,Above Benchmark,353,96407,White,NO,NO,NO
8400,9211439151,887401008,At Benchmark,313,887401,White,NO,NO,NO
8401,9214334297,93408887,At Benchmark,320,93408,White,NO,NO,NO
8402,9214394733,62488805,Below Benchmark,305,62488,White,NO,NO,NO
8404,9248545427,820407873,At Benchmark,306,820407,White,NO,NO,YES
8405,9248194617,76404807,Below Benchmark,295,76404,White,YES,NO,NO
8406,9248155786,778487805,Above Benchmark,430,778487,White,NO,NO,NO
8407,9248492676,821405808,At Benchmark,328,821405,White,NO,NO,NO
8408,9247733199,778108055,Above Benchmark,344,778108,White,NO,NO,YES
8409,9247727964,93408883,At Benchmark,321,93408,White,NO,NO,NO
8410,9247579184,,Well Below Benchmark,249,58406,White,NO,NO,NO
8411,9247517328,820407029,Above Benchmark,349,820407,White,NO,NO,NO
8412,9247516915,829108808,Below Benchmark,301,829108,White,NO,NO,NO
8413,9243693261,,Above Benchmark,431,770485,White,NO,NO,NO
8414,9243554268,60480809,At Benchmark,320,60480,White,NO,NO,NO
8415,9249862651,48405805,Well Below Benchmark,252,48405,White,NO,NO,NO
8416,9249823844,818406807,Well Below Benchmark,249,818406,White,NO,NO,NO
8417,9249652842,820405801,Above Benchmark,363,820405,White,NO,NO,NO
8418,9249559756,867403808,Well Below Benchmark,249,867403,White,NO,NO,NO
8419,9245854938,86136001,At Benchmark,311,86136,White,NO,NO,NO
8420,9245818641,819402806,Below Benchmark,280,819402,White,NO,NO,NO
8421,9245793974,795487808,Above Benchmark,342,795487,White,NO,NO,NO
8422,9245747585,820407881,Well Below Benchmark,245,820407,White,NO,NO,NO
8423,9245344681,874480808,Above Benchmark,346,874480,White,YES,NO,NO
8424,9245283787,818402807,At Benchmark,311,818402,White,YES,NO,NO
8425,9245164846,62477805,Above Benchmark,350,62477,White,NO,NO,NO
8426,9245459464,844408801,At Benchmark,314,844408,White,NO,NO,NO
8427,9242836656,818402803,Well Below Benchmark,256,818402,White,NO,NO,NO
8428,9242772583,844408880,Above Benchmark,337,844408,White,YES,NO,NO
8429,9241374881,873401802,Below Benchmark,302,873401,White,NO,NO,NO
8430,9241396763,826407808,Below Benchmark,300,826407,White,YES,NO,NO
8431,9241618451,819408808,Well Below Benchmark,243,819408,White,YES,NO,NO
8432,9241617817,818402807,Well Below Benchmark,274,818402,White,YES,NO,NO
8433,9241238519,35407307,At Benchmark,317,35407,White,NO,NO,NO
8434,9241494727,792405808,At Benchmark,320,792405,White,NO,NO,NO
8435,9244878658,820405803,At Benchmark,323,820405,White,NO,NO,NO
8436,9244855324,820407889,Well Below Benchmark,254,820407,White,YES,NO,NO
8437,9244398597,844408886,Below Benchmark,283,844408,White,NO,NO,NO
8438,9188748838,86138009,Above Benchmark,348,86138,White,NO,NO,NO
8439,9188228263,20401803,Below Benchmark,284,20401,White,NO,NO,NO
8440,9183321722,820407870,Above Benchmark,402,820407,White,NO,NO,NO
8441,9183346887,826407808,Above Benchmark,353,826407,White,YES,NO,NO
8442,9183994976,787406884,Well Below Benchmark,267,787406,White,YES,NO,NO
8443,9183677173,889408888,Below Benchmark,297,889408,White,YES,NO,NO
8444,9183587859,818402803,Above Benchmark,339,818402,White,NO,NO,NO
8445,9183223637,818408807,Well Below Benchmark,274,818408,White,NO,NO,NO
8446,9183224215,20401804,Above Benchmark,362,20401,White,NO,NO,NO
8447,9189792388,820403809,Above Benchmark,375,820403,White,NO,NO,NO
8448,9189963939,820403802,Well Below Benchmark,265,820403,White,NO,NO,NO
8449,9189613314,,At Benchmark,325,770485,White,YES,NO,YES
8450,9189549123,774403807,Below Benchmark,285,895402,White,YES,NO,NO
8451,9189147265,62488803,Well Below Benchmark,272,62488,White,NO,NO,YES
8452,9186385828,60404008,At Benchmark,315,42407,White,YES,NO,YES
8453,9186385828,,At Benchmark,312,42407,White,YES,NO,YES
8454,9186925174,93408806,At Benchmark,318,93408,White,NO,NO,NO
8455,9185743778,821409868,Below Benchmark,304,821409,White,NO,NO,NO
8456,9185528797,27403808,Well Below Benchmark,272,27403,White,NO,NO,YES
